Модель,Цена,Год выпуска,Пробег,Кузов,Объем,Мощность,Коробка,Тип двигателя,Топливо,Расход,Привод,Разгон,"Максимальная скорость, км/ч",Страна марки,Класс,Цвет,Состояние,Владельцы,ПТС
Nissan Serena IV (C26),1010000.0,2012.0,54000.0,минивэн,2.0,147.0,вариатор,nan,бензин,nan,АИ-92,nan,nan,Япония,M,белый,не требует ремонта,1,оригинал
Datsun on-DO I,410000.0,2018.0,26000.0,седан,1.6,87.0,автомат,бензин,АИ-95,7.7,передний,14.4,166.0,Япония,B,белый,не требует ремонта,2,оригинал
Kia Sorento II Рестайлинг,1725000.0,2018.0,3795.0,внедорожник 5 дв.,2.4,175.0,автомат,бензин,АИ-95,8.8,полный,11.5,190.0,Южная Корея,J,чёрный,не требует ремонта,2,оригинал
Volkswagen Transporter T4,320000.0,2000.0,700000.0,минивэн,1.9,68.0,механика,дизель,ДТ,nan,передний,nan,136.0,Германия,M,белый,не требует ремонта,2,оригинал
Audi A4 I (B5) Рестайлинг,190000.0,1999.0,300000.0,седан,1.8,150.0,автомат,бензин,АИ-95,10.2,полный,10.2,203.0,Германия,D,серебристый,не требует ремонта,3,оригинал
Ford Kuga II,999000.0,2015.0,68000.0,внедорожник 5 дв.,2.5,150.0,автомат,бензин,АИ-95,8.1,передний,9.7,185.0,США,J,белый,не требует ремонта,1,оригинал
Lexus ES  VI Рестайлинг 250,2050000.0,2016.0,13237.0,седан,2.5,184.0,автомат,бензин,АИ-95,7.9,передний,9.8,207.0,Япония,E,коричневый,не требует ремонта,1,оригинал
Skoda Octavia III,619000.0,2015.0,129000.0,лифтбек,1.6,110.0,автомат,бензин,АИ-95,6.7,передний,12.2,188.0,Чехия,C,белый,не требует ремонта,2,оригинал
Toyota Highlander III (U50),2155000.0,2015.0,115000.0,внедорожник 5 дв.,3.5,249.0,автомат,бензин,АИ-95,10.6,полный,8.7,180.0,Япония,J,серебристый,не требует ремонта,1,оригинал
Mazda 6 III (GJ),1199000.0,2015.0,102000.0,седан,2.5,192.0,автомат,бензин,АИ-95,6.5,передний,7.8,223.0,Япония,D,серый,не требует ремонта,2,оригинал
Citroen C4 I Рестайлинг,420000.0,2011.0,123000.0,хэтчбек 5 дв.,1.6,110.0,автомат,бензин,АИ-95,7.6,передний,13.1,188.0,Франция,C,красный,не требует ремонта,1,оригинал
Skoda Octavia II Рестайлинг,665500.0,2013.0,85500.0,лифтбек,1.8,152.0,автомат,бензин,АИ-95,7.7,передний,8.8,214.0,Чехия,C,белый,не требует ремонта,1,оригинал
Volkswagen Polo V,379900.0,2012.0,145000.0,седан,1.6,105.0,механика,бензин,АИ-95,6.5,передний,10.5,190.0,Германия,B,синий,не требует ремонта,3,оригинал
LADA (ВАЗ) 2107,26000.0,2003.0,100000.0,седан,1.6,74.0,механика,бензин,АИ-95,8.5,задний,16.0,150.0,Россия,B,красный,не требует ремонта,3,оригинал
